Raggy Muffin - AWS Migration Cost Calculator,,,,,,
Version,1.0,,,,,,
Last Updated,January 2025,,,,,,
,,,,,,
Instructions: Update the YELLOW cells with your inputs. All other cells calculate automatically.,,,,,,
,,,,,,
=== INPUT PARAMETERS (Update These) ===,,,,,,
Parameter,Value,Unit,Notes,,,
Queries per Day,10000,queries,Average daily chat queries,,,
Queries per Month,300000,queries,"=B9*30 (calculated)",,,
Documents Uploaded per Day,50,documents,Average daily document uploads,,,
Average Document Size,500,KB,Average size per document,,,
Storage Growth per Month,750,MB,"=B11*B12*30/1024 (calculated)",,,
Current Monthly Server Cost,300,USD,Current self-hosted server cost,,,
Target Conversion Lift,5,%,Expected improvement in conversion rate,,,
Average Revenue per Conversion,100,USD,Average value when user converts,,,
Current Monthly Conversions,500,conversions,Current monthly conversions,,,
,,,,,,
,,,,,,
=== AWS INFRASTRUCTURE COSTS ===,,,,,,
Service,Monthly Cost (USD),Unit,Notes,Cost Details,,
ECS Fargate - Chat Service,60,USD,"2 tasks, 0.5 vCPU, 1GB RAM, 24/7","0.04048 per vCPU-hour, 0.004445 per GB-hour",,
ECS Fargate - Document Service,45,USD,"2 tasks, 0.25 vCPU, 0.5GB RAM, 24/7",Same pricing as above,,
ECS Fargate - Admin Service,30,USD,"1 task, 0.25 vCPU, 0.5GB RAM, 24/7",Same pricing as above,,
ECS Fargate - Super Admin Service,30,USD,"1 task, 0.25 vCPU, 0.5GB RAM, 24/7",Same pricing as above,,
Lambda - Auth Service,10,USD,"10M requests/month, 512MB, 500ms avg","$0.20 per 1M requests, $0.0000166667 per GB-second",,
Lambda - Embedding Service,15,USD,"5M requests/month, 1GB, 1000ms avg",Same pricing as above,,
Lambda - Widget Service,5,USD,"2M requests/month, 256MB, 200ms avg",Same pricing as above,,
Lambda - Analytics Service,8,USD,"1M requests/month, 512MB, 1000ms avg",Same pricing as above,,
RDS Aurora PostgreSQL Serverless v2,120,USD,"1 ACU min, 2 ACU max, Multi-AZ","$0.12 per ACU-hour, ~1.5 ACU average",,
ElastiCache Redis,65,USD,"cache.t3.medium, Multi-AZ",$0.09 per hour x 730 hours,,
S3 Storage,20,USD,"100GB storage, 1M requests/month","$0.023 per GB, $0.0004 per 1K GET requests",,
S3 Data Transfer,10,USD,"50GB outbound per month",$0.09 per GB (first 10TB),,
